boro_cd,borough,population,area_km2,pop_density,poverty_rate,pct_nonhisp_black,pct_hispanic,rent_burden_rate,radiance_raw,z_light,z_noise_obj,z_air,z_heat,noise_obj_db_mean,dot_exposure_index,dot_pct_above_65dB,rate_per_1k_pop,rate_per_km2,late_night_share,weekend_uplift,warm_season_ratio,no2_mean_primary,pm25_mean_primary,tmin_mean_primary,nighttime_crimes_total,crimes_per_year,felonies,misdemeanors,felony_share,crime_rate_per_1k,violent_crimes,violent_rate_per_1k,shots_total,shots_per_year,shots_nighttime,shots_nighttime_share,total_licenses,on_premises_count,license_rate_per_1k_pop,on_premises_rate_per_1k_pop,ems_total,ems_nighttime,fire_total,fire_nighttime,total_violations,dep_violations,nypd_violations,violation_rate_per_1k,ahv_total_permits,ahv_nighttime_permits,ahv_nighttime_share,total_permits,permits_per_year,mean_volume,median_volume,mean_year_built,mean_floors,total_res_units,depression,heavy_drinking,obesity,poor_health,nycha_pop_share,nycha_buildings,Loud Music/Party,Loud Talking,Banging/Pounding,Car/Truck Music,Car/Truck Horn,Engine Idling,res_action_taken_share,res_summons_issued_share,median_response_hours,crash_count,persons_injured,persons_killed,ped_injured,cyclist_injured,crash_rate_per_1k,injury_rate_per_1k,night_crash_severity,non_noise_311_count,homeless_count,streetlight_count,drug_alcohol_count,quality_of_life_count,non_noise_311_per_1k,homeless_per_1k,fire_incidents_night,structural_fires_night,fire_night_day_ratio,fire_incidents_night_per_1k,streetlight_complaints,streetlight_complaints_per_km2,late_night_ridership,subway_stations,pct_ridership_late_night,late_night_entries_per_1k,subway_stations_per_km2,transit_desert_flag,taxi_trips_night,rideshare_trips_night,total_ride_trips_night,taxi_pickups_night_per_1k,rideshare_pickups_night_per_1k,total_ride_pickups_night_per_1k,rideshare_to_taxi_ratio,arrest_count,felony_arrests,drug_arrests,dui_arrests,arrest_rate_per_1k,felony_arrest_rate_per_1k,drug_arrest_rate_per_1k,dui_arrest_rate_per_1k,all_hours_arrest_to_night_crime_ratio,citibike_trips_night,citibike_stations,citibike_trips_night_per_1k,citibike_stations_per_km2,citibike_coverage_flag,night_film_permits,film_activity_per_1k,restaurant_count,late_night_food_count,cuisine_diversity,restaurants_per_1k,late_night_food_per_1k,n_waste_zones,commercial_waste_zone_pct,energy_use_per_sqft,electricity_use_per_sqft,large_buildings_per_km2,helicopter_complaints_night,helicopter_complaints_night_per_1k,helicopter_pct_of_noise,subway_stations_late_night,mean_trains_per_hour_late_night,subway_last_train_hour,late_night_transit_gap,wifi_hotspots,linknyc_kiosks,wifi_hotspots_per_km2,linknyc_kiosks_per_1k,ems_response_min_night,ems_response_min_day,ems_night_day_response_ratio,ems_incidents_night_est,cd_name
101,1,72470.0,3.873662358592926,18708.39357984832,0.06972249222627352,0.043355871395060024,0.09093417966054919,0.36788323435031534,82.04885864257812,0.3903076638400536,-0.2869564165049615,1.03584509661609,-0.44629467367893977,65.48934173583984,52.34996128804609,0.06650671562196925,41.175658893335175,770.3304324860961,0.2443029490616622,1.4366754617414248,0.6961189099917424,18.924922943115234,6.92192284266154,20.334907234578893,,,,,,,,,118,39.333333333333336,53,0.4491525423728814,670,432,9.245204912377536,5.961087346488203,57987,16686,20209,4775,4684.0,2080.0,238.0,2.866230735245704,17577,1451,0.0825510610456847,12679,4226.333333333333,,,1915.0363636363636,10.827662721893493,47267,15.450469238199224,22979.43030768634,29608.40070450021,193628.63151921632,0.0,0.0,5379.0,1205.0,830.0,252.0,404.0,217.0,0.2657280474249722,0.1710263060392738,0.7208333333333333,758,226,1,59,32,3.486500160986155,1.0395106020882203,0.3113456464379947,6603,1479,100,31,1046,30.37118807782531,6.802814957913619,4775,236,0.5156364735864541,21.96311117243917,100,8.604843131949133,12621217.0,15.0,7.413908822437405,58052.605675911866,3.8721794093771096,0.0,141426.0,1108249.0,1249675.0,2602.0146267421,20390.02805758705,22992.042684329143,7.836246517613452,9633,4467,317,60,44.30798951290189,20.54643300676142,1.4580746055839198,0.2759762660411204,0.0,406252.0,3121.0,1868.598500528955,805.6714624443972,1,224.0,1.030311393220183,892,161,62,12.308541465433972,2.2216089416310196,4,100.0,77.26810631229236,37.36752435575607,155.40346696300134,110.0,0.5059564877420542,1.61,23.0,8.253623188405797,23.0,0,117,24.0,30.202999393141457,0.3311715192493445,10.28179718317977,11.748704521067015,0.8751430563891632,13337.0,MN 1
102,1,85706.0,3.5045719536197106,24455.483047359958,0.07702536584039163,0.024595710918722143,0.09433411896483326,0.37946012690035924,103.21449025472005,1.1812204769427987,-1.3005957432023119,3.1390935335159407,0.7112243680038045,61.33042907714844,50.90875589655054,0.05505594111549153,67.75488297202064,1656.9783918981084,0.2054417082831066,1.8806578153289077,0.8271089630931459,20.957534790039062,8.20251178741455,20.637086750804514,7314.0,2438.0,3684.0,3630.0,0.504,28.45,2021.0,7.86,188,62.666666666666664,117,0.6223404255319149,1189,787,13.873007724079994,9.182554313583646,60551,17241,28341,7206,4684.0,2080.0,238.0,2.866230735245704,9999,855,0.0855085508550855,19611,6537.0,,,1890.6683450087564,5.123681898066784,61370,10.060813307345503,26585.111250498972,28165.95549980041,188580.84424930144,0.0,0.0,20338.0,3436.0,1657.0,1399.0,426.0,837.0,0.3408212490192089,0.0774461654703437,0.5391666666666667,905,375,1,60,79,3.51978469029784,1.4584743191841878,0.425414364640884,10146,376,206,116,1415,39.460481179847385,1.4623635840353455,7206,416,0.5682517151644192,28.02604251744335,206,19.592820523843372,15171766.0,12.0,11.840736146142598,59007.01623379148,3.423988052710492,0.0,555214.0,2262637.0,2817851.0,8637.497180282982,35199.978220116835,43837.47540039981,4.075252064969543,7558,3277,634,48,29.395063745050912,12.745120917244222,2.465793915634067,0.186684712855576,1.0333606781514904,986265.0,2429.0,3835.8457984271818,693.0722483361487,1,168.0,0.6533964949945161,1526,285,61,17.805054488600565,3.325321447739948,5,99.7,79.5753986332574,31.09687044219605,250.52179252331769,176.0,0.6845106138037788,0.99,19.0,11.263157894736842,23.0,0,75,38.0,21.399925329440578,0.4433761930319931,10.28179718317977,11.748704521067015,0.8751430563891632,15772.0,MN 2
103,1,155194.0,4.355016729694203,35635.68400135567,0.2610849623983398,0.08534479425750996,0.24705207675554466,0.47105133336732435,101.71621449788411,1.1252332276436583,-0.5770423538042325,1.5847912162102533,0.9717046755270172,64.29913330078125,51.99959462808159,0.07045836088270842,66.25900485843525,2361.1849593794886,0.20062238646309444,1.8787259410662578,1.024132533263762,18.701887130737305,7.408935546875,20.705087198727373,7926.0,2642.0,4098.0,3828.0,0.517,17.02,2214.0,4.76,1025,341.6666666666667,507,0.4946341463414634,1187,662,7.648491565395569,4.26562882585667,114180,32127,51263,13528,4684.0,2080.0,238.0,2.866230735245704,1668,18,0.0107913669064748,9126,3042.0,155.53010181496236,119.0,1916.8859869412356,5.36583522297808,83639,13.629195302331206,22170.992859030008,29931.602856388,194760.609997358,0.0351882160392798,229.0,41067.0,7208.0,6173.0,3338.0,498.0,648.0,0.3707058330877677,0.0436589791708671,0.5458333333333333,1424,717,6,128,131,3.058537486414853,1.5400079899996135,0.5456460674157303,15837,582,195,280,2979,34.01549028957305,1.2500483266105649,13528,621,0.5975001104191511,29.056106120941102,195,14.924833834364856,8370312.0,6.0,12.312308827088897,17978.169259120845,1.3776769693259867,0.0,414758.0,2036714.0,2451472.0,3563.350816827111,17498.219432881855,21061.57024970897,4.910608113646994,13893,6305,756,116,29.840071136770753,13.542190204947786,1.623774114978672,0.249150525578738,1.7528387585162757,1106609.0,2623.0,2376.8294306910493,602.2744484236772,1,276.0,0.5928064229287215,1544,476,69,9.94883822828202,3.0671288838486026,4,100.0,88.4599557522124,30.806194918193217,103.784998355891,49.0,0.1052446185634324,0.13,7.0,6.785714285714286,23.0,0,93,67.0,21.353993024552793,0.4317177210459167,10.28179718317977,11.748704521067015,0.8751430563891632,28560.0,MN 3
104,1,116457.0,4.580891520829646,25422.34398489062,0.12398700898528868,0.052388435216431814,0.19132383626574614,0.4448265520654215,158.01904805501303,3.229145517640189,-1.7535822563693717,2.880801668153712,0.4886860423064055,59.47184753417969,52.500031086328406,0.10073042509071023,78.47531706981977,1995.0265048723165,0.2271583324214903,1.3009482615205457,0.6222750693618708,21.739517211914062,7.836092631022136,20.578991357830986,3018.0,1006.0,1511.0,1507.0,0.501,8.64,870.0,2.49,368,122.66666666666669,222,0.6032608695652174,1190,785,10.218363859622007,6.7406854031960295,119544,35225,44106,12231,4684.0,2080.0,238.0,2.866230735245704,15163,761,0.0501879575281936,13608,4536.0,89.5049369171695,78.0,1922.9622641509432,6.715786202610317,88333,13.400787644299134,26918.262960826974,27977.63484225862,187850.7208586729,0.0127686613943343,26.0,15322.0,3284.0,4542.0,1102.0,1202.0,1185.0,0.1705958270595827,0.0666379866637986,0.5869444444444445,1544,603,8,153,86,4.419370812116632,1.725958937633633,0.4423575129533679,15123,628,183,94,2937,43.28636320702062,1.7975161075189414,12231,546,0.6395294117647059,35.00862979468817,183,13.31575522497819,15045501.0,9.0,10.78417454548207,43064.53884266296,1.9646196233574376,0.0,507945.0,1803671.0,2311616.0,5815.537065182857,20650.494746272587,26466.031811455443,3.55091791434112,17947,8222,1979,76,51.369461117265026,23.53372203188015,5.6644655681209946,0.2175337964513368,5.946653412856196,1091736.0,3539.0,3124.861536876272,772.532094117997,1,497.0,1.4225565373199265,1297,304,64,11.137157920949363,2.6104055574160423,5,99.9,81.88564356435644,34.43501297275677,176.37918396364552,805.0,2.304140870306923,4.48,10.0,11.433333333333334,23.0,0,162,114.0,35.36315322043388,0.9789020840310158,10.28179718317977,11.748704521067015,0.8751430563891632,21431.0,MN 4
105,1,50450.0,4.068100867683603,12401.364086315414,0.11517276374459495,0.06654112983151635,0.1199603567888999,0.3745584241297691,198.29223124186197,4.734065247445949,-2.5464908843807352,4.71862864641361,1.1259583747492612,56.21858215332031,52.06841375896576,0.07716143727552155,85.25272547076314,1057.2500879136292,0.24250174378051617,1.330602066262914,0.8436103663985702,24.99809201558431,8.654508272806803,20.745356348977573,11939.0,3979.7,5808.0,6131.0,0.486,78.88,3909.0,25.83,359,119.66666666666669,182,0.5069637883008357,2367,1701,46.91774033696729,33.71655104063429,127646,36810,52336,13417,4684.0,2080.0,238.0,2.866230735245704,89079,8893,0.0998327327428462,39763,13254.333333333334,164.947601010101,163.0,1926.9835714285712,12.595788530465947,45878,11.529956048562587,32661.920501144512,27199.236417387627,231404.9732116033,0.0,0.0,10568.0,2016.0,1309.0,775.0,316.0,2611.0,0.2075846650658276,0.1166680467003394,0.5166666666666667,1357,655,2,161,132,8.965972910472415,4.327717211760819,0.4974207811348563,17603,5531,195,91,1805,116.30657416584076,36.54443343244136,13417,567,0.5745694048322585,88.64882722167161,195,15.977455611511214,64457963.0,22.0,11.489402482637816,425886.7723818962,5.407754206973026,0.0,916566.0,2759693.0,3676259.0,24223.74628344896,72935.39478031053,97159.1410637595,3.0109048339126696,18055,6611,1020,47,119.29302940204822,43.680211430459195,6.739345887016848,0.3105384869507763,1.5122707094396517,861284.0,7084.0,5690.677238189627,1741.2968546453144,1,589.0,3.891641889659729,2989,603,73,59.24677898909811,11.95242814667988,6,100.0,73.9558655675333,37.050467683410375,387.6376538362029,42.0,0.2775024777006937,0.41,30.0,11.822222222222225,23.0,0,234,185.0,57.51884020144037,3.666997026759167,10.28179718317977,11.748704521067015,0.8751430563891632,9284.0,MN 5
106,1,143639.0,3.598028580253398,39921.583944139755,0.08102357248214208,0.04266250809320588,0.08935595485905638,0.4147055490147342,103.1367416381836,1.178315183203092,-0.5959589402810662,2.3955008902376873,1.1136060717144676,64.22151947021484,53.62922417620673,0.1254690979410269,41.29101427885185,1648.402692671857,0.2829202495363345,1.3714099216710183,0.6297429620563036,21.208062489827473,7.553273359934489,20.742131682409756,6100.0,2033.3,2915.0,3185.0,0.478,14.16,1774.0,4.12,205,68.33333333333333,111,0.5414634146341464,647,419,4.504347705010478,2.917035067077883,75967,21218,29605,7803,4684.0,2080.0,238.0,2.866230735245704,15585,1293,0.0829643888354186,14887,4962.333333333333,110.19627507163324,69.0,1924.1390354182367,8.400377358490566,103972,10.002243583413009,36990.49488307296,26668.177912916963,267450.4184361855,0.0064745647073566,2.0,8951.0,2379.0,2181.0,407.0,702.0,725.0,0.1367184623315413,0.1002282936887841,0.4608333333333333,1305,686,5,145,122,3.0284254276345557,1.5919539029557894,0.563984674329502,9051,421,87,41,1325,21.004044862467712,0.9769862873824888,7803,332,0.5965049078066232,18.10789548799421,87,8.05970905804985,2734894.0,2.0,8.710676024025837,6346.683932172553,0.5558420040034379,1.0,400819.0,1326661.0,1727480.0,3720.6144106637703,12314.770593873063,16035.385004536834,3.3098755298526266,7404,3247,154,58,17.18196311586686,7.53509376515663,0.3573774067859935,0.1345966856726469,1.2137704918032788,619855.0,2798.0,1438.455665476182,777.6229636008095,1,62.0,0.1438792157190364,853,231,59,5.938498597177646,1.6081983305369711,6,100.0,83.87241379310346,29.34899471625575,217.6121445673459,621.0,1.441112789701961,5.36,3.0,7.666666666666667,23.0,0,212,203.0,58.91925242436441,1.4132651995627927,10.28179718317977,11.748704521067015,0.8751430563891632,26434.0,MN 6
107,1,220646.0,4.93787865790255,44684.37061467267,0.10472116924451828,0.060191437868803425,0.16169792337046673,0.40885382372920387,63.65123494466146,-0.2971708192011842,-0.6237713244287121,0.47638766890497036,0.5439383438949493,64.10740661621094,51.98449089894195,0.08277693167442038,59.982959129102724,2680.3007762895895,0.2242538723082735,1.191565324110231,0.7344808126410836,18.33615493774414,6.591042359670003,20.593415408894636,4664.0,1554.7,2049.0,2615.0,0.439,7.05,1173.0,1.77,1503,501.0,780,0.5189620758483033,569,352,2.5787913671673177,1.5953155733618556,92852,23608,37533,8673,4684.0,2080.0,238.0,2.866230735245704,3904,65,0.0166495901639344,18040,6013.333333333333,150.56269949840402,88.0,1907.748095128146,6.534780194354465,128248,13.69999617962164,19000.14906261104,26000.065783317455,171000.2705456882,0.0157129519683112,96.0,18250.0,4766.0,5647.0,1514.0,668.0,911.0,0.1295324662528328,0.0514829047196768,0.4886111111111111,981,413,5,68,62,1.482011910481042,0.6239255035970136,0.4719673802242609,15287,505,218,87,3277,23.09430792611997,0.762911330064145,8673,386,0.5008662508662508,13.102435575537289,218,14.715695780999802,7308358.0,8.0,8.038185184599406,11040.849747257298,1.6200765997430973,0.0,301346.0,852549.0,1153895.0,1820.9922983723552,5151.835972553321,6972.828270925676,2.829136607089525,8290,3068,214,76,12.5238315370926,4.634875169577816,0.3232931180865881,0.1148143783858911,1.7774442538593482,490274.0,2522.0,740.6645335363735,510.72914806901144,1,252.0,0.3807003072795337,671,181,53,3.041070311721038,0.8203185192570905,3,100.0,78.13236074270557,22.442661947182476,229.0383292886804,4276.0,6.459819499711453,19.42,7.0,13.023809523809524,23.0,0,211,191.0,42.72952031822419,0.865639984409416,10.28179718317977,11.748704521067015,0.8751430563891632,40605.0,MN 7
108,1,211135.0,5.129464321343928,41161.21816491791,0.07223144971269199,0.03150117223577332,0.09362730006867644,0.39895306051604523,70.97263081868489,-0.02358645788021788,-1.3990650085990215,0.7992834091294476,1.0149559686283074,60.926414489746094,51.618611199894765,0.09208869460458835,36.171170104435554,1488.8494239490283,0.28060756841691764,1.1765838628923553,0.7479142810404057,18.797047932942707,6.757464090983073,20.716378291447956,3464.0,1154.7,1683.0,1781.0,0.486,5.47,834.0,1.32,232,77.33333333333333,127,0.5474137931034483,715,448,3.3864589007033414,2.121865157363772,79304,18940,34142,7825,4684.0,2080.0,238.0,2.866230735245704,7650,1192,0.1558169934640522,23698,7899.333333333333,323.76276041666665,194.0,1917.8472429210135,7.096046251398732,151425,9.986509237279334,39962.349899401495,26008.85884719965,281764.13319330936,0.0048547138087005,6.0,11068.0,2551.0,3456.0,523.0,597.0,708.0,0.2077163386441737,0.1410809122149328,0.55375,1363,573,9,79,82,2.1518617630110275,0.9046344755725012,0.4864269992663242,11578,313,141,29,2127,18.278984220206663,0.4941546088205808,7825,344,0.4955605375486061,12.35386522051452,141,9.16245427274248,9319631.0,9.0,6.703236137667683,14713.541888681018,1.75451252031239,0.0,422539.0,1059736.0,1482275.0,2668.3654218075326,6692.312185726352,9360.677607533886,2.50801937809291,5662,2305,49,48,8.9389884828822,3.6390618956276,0.0773596671955541,0.0757808984772775,1.634526558891455,434432.0,2496.0,685.8676518183469,486.5848056333029,1,98.0,0.1547193343911083,893,222,51,4.2295213962630545,1.0514599663722264,4,99.9,81.97433697347894,27.57879667500995,249.92056122672045,1094.0,1.727172977794618,8.54,10.0,10.85,23.0,0,120,105.0,23.39350027083187,0.4973121462571341,10.28179718317977,11.748704521067015,0.8751430563891632,38855.0,MN 8
109,1,114528.0,3.892041065202108,29426.205448850455,0.23200241316871745,0.21488836344917242,0.4012459319623428,0.47754417544118877,85.3022944132487,0.5118813586290164,0.4917326954552524,0.20679567968955298,-0.0024102080528328237,68.68426513671875,50.118507916178075,0.06768938655664045,74.878067932957,2205.0127057316517,0.25064087625262177,1.7093388267608398,1.3169014084507042,17.006813685099285,6.643595854441325,20.45078679098599,4708.0,1569.3,2029.0,2679.0,0.431,13.7,1517.0,4.42,1067,355.6666666666667,528,0.4948453608247423,192,74,1.6764459346186085,0.6461302039675887,65042,18179,26572,7250,4684.0,2080.0,238.0,2.866230735245704,1038,148,0.1425818882466281,5029,1676.3333333333333,,,1914.7317385732592,4.898048885077187,46846,14.52537218986076,10430.774510618816,53538.57264320655,142038.41003639158,0.005736588432523,9.0,30542.0,6372.0,7683.0,2220.0,307.0,459.0,0.3868515644949029,0.0259275991436035,0.4352777777777777,1107,531,3,73,80,3.2219195305951382,1.5454735959765298,0.5067750677506775,15099,109,110,64,2881,43.94558535903884,0.3172441091552575,7250,394,0.6253665942103991,21.101099003446027,110,9.420630980446,5646732.0,8.0,9.71060457461518,16434.79323833473,2.055410395733673,0.0,25849.0,430513.0,456362.0,300.9336872496973,5012.0261711837575,5312.9598584334535,16.65491895237727,8324,3613,659,149,24.226972152370305,10.515623544751792,1.9180171370028871,0.4336639657259942,1.768054375531011,130121.0,952.0,378.7167039210207,244.5938370923071,1,34.0,0.0989568780851262,294,95,42,2.5670578373847444,0.829491478066499,2,100.0,116.6040650406504,42.599643917043394,158.0096741720261,50.0,0.1455248207134208,0.19,9.0,7.814814814814814,23.0,0,99,87.0,25.435703647204203,0.759639564124057,10.28179718317977,11.748704521067015,0.8751430563891632,21077.0,MN 9
110,1,135884.0,3.62994708483437,37434.15449985829,0.2357957525552265,0.5240793618086015,0.23674604809984987,0.46219328102301643,99.91764322916667,1.058024599629409,-2.031954339691368,0.20994982462508538,-0.014620899981617676,58.3297004699707,50.351446242772944,0.022577461609173878,96.87674781431221,3626.499145124772,0.2781069583713157,1.4211247468128203,1.018723923883179,17.04230308532715,6.638938903808594,20.447599093119305,7175.0,2391.7,3432.0,3743.0,0.478,17.6,2685.0,6.59,2124,708.0,1075,0.506120527306968,213,67,1.5675134673692266,0.4930676164964234,116523,31108,46544,11706,4684.0,2080.0,238.0,2.866230735245704,959,3,0.0031282586027111,5067,1689.0,43.12254641909814,39.0,1917.65587144623,4.380089374379345,61902,15.392750402465865,8010.33091132513,44101.062491248435,114181.83082993592,0.0069986164669865,46.0,35675.0,9122.0,15584.0,2980.0,428.0,701.0,0.3701598420872972,0.0231526143160331,0.5233333333333333,1392,678,1,129,99,3.414677224691649,1.6631833034058463,0.4942528735632184,21594,163,89,177,4088,52.97165229166054,0.3998508531786917,11706,633,0.560020667087663,28.71566924729917,89,8.172490668574229,3400574.0,9.0,9.075902411444552,8341.855307958751,2.4792949219270133,0.0,23503.0,623800.0,647303.0,230.61827244806847,6120.907048168537,6351.525320616604,26.54129260094456,13836,6330,1830,106,33.94071413852993,15.527950310559008,4.489123075564453,0.260025708202094,1.928362369337979,225236.0,977.0,552.5202869113853,269.1412376358547,1,39.0,0.0956698360366194,198,80,39,1.4571251950192814,0.588737452533043,3,100.0,88.30743639921722,25.516990209622524,140.76885612274486,63.0,0.1545435812899237,0.19,9.0,9.5,23.0,0,169,65.0,46.55564908951836,0.4783491801830974,10.28179718317977,11.748704521067015,0.8751430563891632,25007.0,MN 10
