status,detail
WARN,subway_stations_late_night: 1 values > 3 SD (max=30.00)
WARN,subway_last_train_hour: 2 values > 3 SD (max=0.00)
WARN,late_night_transit_gap: 2 values > 3 SD (max=1.00)
WARN,wifi_hotspots: 1 values > 3 SD (max=234.00)
WARN,linknyc_kiosks: 3 values > 3 SD (max=203.00)
WARN,wifi_hotspots_per_km2: 2 values > 3 SD (max=58.92)
WARN,linknyc_kiosks_per_1k: 1 values > 3 SD (max=3.67)
PASS,"VIIRS vs streetlight complaints: r=0.553, p=0.0000"
PASS,"Crime rate vs arrest rate: r=0.805, p=0.0000"
PASS,"Subway ridership vs stations: r=0.698, p=0.0000"
PASS,"Bars vs restaurants: r=0.902, p=0.0000"
PASS,"Taxi vs rideshare: r=0.845, p=0.0000"
PASS,"Pop density vs ride pickups: r=0.567, p=0.0000"
PASS,"Fire incidents vs EMS response: r=0.481, p=0.0001"
WARN,"borough: only 5 unique values — likely borough-level, CD-level correlations unreliable"
WARN,"total_violations: only 4 unique values — likely borough-level, CD-level correlations unreliable"
WARN,"dep_violations: only 4 unique values — likely borough-level, CD-level correlations unreliable"
WARN,"nypd_violations: only 3 unique values — likely borough-level, CD-level correlations unreliable"
WARN,"violation_rate_per_1k: only 4 unique values — likely borough-level, CD-level correlations unreliable"
WARN,"transit_desert_flag: only 2 unique values — likely borough-level, CD-level correlations unreliable"
WARN,"citibike_coverage_flag: only 2 unique values — likely borough-level, CD-level correlations unreliable"
WARN,"commercial_waste_zone_pct: only 4 unique values — likely borough-level, CD-level correlations unreliable"
WARN,"subway_last_train_hour: only 2 unique values — likely borough-level, CD-level correlations unreliable"
WARN,"late_night_transit_gap: only 2 unique values — likely borough-level, CD-level correlations unreliable"
WARN,"ems_response_min_night: only 5 unique values — likely borough-level, CD-level correlations unreliable"
WARN,"ems_response_min_day: only 5 unique values — likely borough-level, CD-level correlations unreliable"
WARN,"ems_night_day_response_ratio: only 5 unique values — likely borough-level, CD-level correlations unreliable"
PASS,crime_rate_per_1k consistent with raw counts (max diff=0.0048)
PASS,"depression: all values within [0, 100]"
FAIL,"heavy_drinking: 0 below 0, 58 above 100 — possible scale/unit error"
FAIL,"obesity: 0 below 0, 59 above 100 — possible scale/unit error"
FAIL,"poor_health: 0 below 0, 59 above 100 — possible scale/unit error"
PASS,"felony_share: all values within [0, 1]"
PASS,"ahv_nighttime_share: all values within [0, 1]"
PASS,"shots_nighttime_share: all values within [0, 1]"
PASS,"pct_ridership_late_night: all values within [0, 100]"
PASS,"commercial_waste_zone_pct: all values within [0, 100]"
PASS,Total crimes >= violent crimes: consistent
PASS,Arrests >= felony arrests: consistent
PASS,Arrests >= drug arrests: consistent
PASS,Arrests >= DUI arrests: consistent
PASS,AHV total >= nighttime permits: consistent
PASS,EMS total >= EMS nighttime: consistent
PASS,Fire total >= fire nighttime: consistent
PASS,Shots total >= shots nighttime: consistent
PASS,TLC trip totals consistent (max diff=0.0000)
WARN,arrest_count is all-hours data (not nighttime-filtered) — direct comparison with nighttime-only metrics may be misleading
