boro_cd,lot_count,mean_year_built,mean_floors,total_res_units,total_units,total_bldg_area,total_lot_area,bldg_density_far,pct_commercial_area,pct_residential_area,pct_retail_area,mean_building_age,pct_prewar,pct_postwar,pct_modern,landuse_types_count,landuse_entropy
101,1466,1915.0363636363636,10.827662721893493,47267,59201,191377672,37727141,5.072678897136679,0.6636678232766882,0.285153782202973,0.04750083907384974,110.9636363636364,0.7585454545454545,0.0829090909090909,0.15854545454545454,11,1.663881859254292
102,4700,1890.6683450087564,5.123681898066784,61370,72751,115553920,27065666,4.2693913388275755,0.4459308000974783,0.4972981011808167,0.10295211101449436,135.33165499124357,0.8995183887915937,0.038747810858143605,0.0617338003502627,11,1.7316419527587652
103,4254,1916.8859869412356,5.36583522297808,83639,94150,91438323,34797227,2.627747406424081,0.246685746850366,0.7066172353139066,0.0752757681262374,109.11401305876439,0.8493219487694625,0.047714716223003516,0.10296333500753391,11,1.5937006369121072
104,3404,1922.9622641509432,6.715786202610317,88333,102014,184112017,40662896,4.527764500590416,0.5144356003660533,0.4217182195119833,0.07563605150227647,103.03773584905684,0.8128673059078255,0.06371790906278998,0.12341478502938447,11,1.8583165359215263
105,2956,1926.9835714285712,12.595788530465947,45878,92470,359163395,28726099,12.503034087573116,0.7532989407230656,0.13524444494127805,0.08524615377354922,99.01642857142883,0.7969307637401856,0.08208422555317631,0.12098501070663811,11,1.3326921018013314
106,2793,1924.1390354182367,8.400377358490566,103972,114930,174580916,27263629,6.403436461081538,0.40748377102111205,0.546413062696956,0.035734203617078054,101.86096458176326,0.760361718161266,0.15259984928409948,0.08703843255463452,10,1.85484739679544
107,4423,1907.748095128146,6.534780194354465,128248,134534,168931843,64830492,2.6057467371989094,0.16167635133182084,0.812030086003383,0.031476570109994,118.2519048718541,0.9187254675594551,0.03925190487185407,0.04202262756869083,11,1.5954087862021993
108,5476,1917.8472429210135,7.096046251398732,151425,159953,216739956,37804812,5.733131433109627,0.21921944562912063,0.7610136545381601,0.044871564890416424,108.1527570789865,0.8463114754098361,0.09370342771982117,0.05998509687034277,11,1.7532739519388465
109,2458,1914.7317385732592,4.898048885077187,46846,49323,80150261,25431058,3.1516683655080335,0.4267475560684699,0.5454927090006606,0.022227376152898617,111.26826142674076,0.9218282785134558,0.037163605296881674,0.04100811618966254,11,1.8040940340105123
110,4321,1917.65587144623,4.380089374379345,61902,65710,74516274,25607534,2.909935568180833,0.2246813763125086,0.756318143336045,0.048582058732566255,108.3441285537699,0.8687268232385661,0.029666254635352288,0.10160692212608158,11,1.649321560400625
111,3063,1929.658691588785,4.778748590755355,59729,62798,74881120,55983977,1.3375455623668893,0.3137009702846325,0.6747882910939367,0.045033861673009164,96.3413084112151,0.7547663551401869,0.06654205607476636,0.17869158878504673,11,1.9059956233103241
