,boro_cd,nighttime_crimes_total,crimes_per_year,felonies,misdemeanors,felony_share,violent_crimes,property_crimes,violent_share,top_offense,top_offense_count,crime_rate_per_1k,violent_rate_per_1k,property_rate_per_1k
42,402,4704,1568.0,2174,2530,0.462,1353,1954,0.288,PETIT LARCENY,845,12.61,3.63,5.24
43,403,7876,2625.3,3525,4351,0.448,3108,2406,0.395,ASSAULT 3 & RELATED OFFENSES,1655,16.22,6.4,4.95
44,404,6846,2282.0,3478,3368,0.508,2998,2129,0.438,ASSAULT 3 & RELATED OFFENSES,1364,13.03,5.71,4.05
45,405,5039,1679.7,2419,2620,0.48,1404,2002,0.279,PETIT LARCENY,786,9.08,2.53,3.61
46,406,2514,838.0,892,1622,0.355,410,1011,0.163,CRIMINAL MISCHIEF & RELATED OF,561,6.85,1.12,2.75
47,407,6560,2186.7,3223,3337,0.491,1722,2897,0.263,PETIT LARCENY,1167,8.75,2.3,3.86
48,408,4468,1489.3,1898,2570,0.425,987,1854,0.221,PETIT LARCENY,812,9.31,2.06,3.86
49,409,4752,1584.0,2028,2724,0.427,1633,1515,0.344,ASSAULT 3 & RELATED OFFENSES,812,10.5,3.61,3.35
50,410,5078,1692.7,2418,2660,0.476,1572,1765,0.31,PETIT LARCENY,750,12.24,3.79,4.25
51,411,2338,779.3,1188,1150,0.508,432,1263,0.185,PETIT LARCENY,520,6.32,1.17,3.41
52,412,11336,3778.7,5248,6088,0.463,3525,3132,0.311,ASSAULT 3 & RELATED OFFENSES,1620,14.68,4.56,4.06
53,413,6061,2020.3,2690,3371,0.444,1479,2298,0.244,PETIT LARCENY,1090,9.77,2.39,3.71
54,414,1596,532.0,676,920,0.424,412,506,0.258,PETIT LARCENY,262,3.96,1.02,1.26
55,501,8842,2947.3,3305,5537,0.374,2253,2267,0.255,ASSAULT 3 & RELATED OFFENSES,1257,16.12,4.11,4.13
56,502,2861,953.7,1131,1730,0.395,538,1148,0.188,PETIT LARCENY,563,6.75,1.27,2.71
57,503,1868,622.7,658,1210,0.352,272,727,0.146,PETIT LARCENY,320,3.71,0.54,1.44
