boro_cd,energy_use_per_sqft,electricity_use_per_sqft,building_count,area_km2,large_buildings_per_km2,population
101,77.26810631229236,37.36752435575607,602,3.8737874499500387,155.40346696300134,72470.0
102,79.5753986332574,31.096870442196046,878,3.5046851260186433,250.52179252331766,85706.0
103,88.4599557522124,30.806194918193217,452,4.355157365325947,103.78499835589099,155194.0
104,81.88564356435644,34.43501297275677,808,4.581039450588122,176.37918396364552,116457.0
105,73.9558655675333,37.050467683410375,1577,4.068232238002258,387.63765383620284,50450.0
106,83.87241379310346,29.34899471625575,783,3.5981447706273566,217.6121445673459,143639.0
107,78.13236074270557,22.442661947182476,1131,4.938038115770943,229.0383292886804,220646.0
108,81.97433697347894,27.57879667500995,1282,5.129629966047523,249.92056122672045,211135.0
109,116.60406504065041,42.599643917043394,615,3.8921667500588963,158.0096741720261,114528.0
110,88.30743639921722,25.516990209622524,511,3.630064305945828,140.76885612274486,135884.0
111,87.35621621621621,29.63244421321695,370,6.146537348369612,60.19649422583329,125413.0
112,94.01615881809788,20.149189342299408,1083,7.243065415948536,149.52232760667022,202680.0
201,84.1123076923077,27.080654757243547,390,5.611318014480505,69.50238767319378,100606.0
202,86.44225352112676,25.191605528422627,284,5.742246988356088,49.457991022657936,55508.0
203,89.45030487804878,28.224000900286544,328,4.16179490253111,78.81214900823628,88856.0
204,88.34736842105264,19.385677632803336,741,5.158172659629183,143.65552471701673,153883.0
205,97.6168992248062,20.91038276142871,645,3.559759490659611,181.19201639672679,137347.0
206,110.01666666666665,33.2817193200528,342,3.9634652158186445,86.28812954760868,87409.0
207,87.79239263803682,18.236279051899068,815,4.952478084391308,164.5640800650143,139443.0
208,83.98981288981288,20.459258978962996,481,8.554144629501598,56.23005231184934,106607.0
209,86.64245014245014,24.063746854103876,351,10.617551598664548,33.05846896417702,172669.0
210,85.57484662576688,30.71904368808969,163,16.625986913429056,9.803929285445454,129124.0
211,94.86794425087108,26.279791352941704,287,9.319526733511358,30.7955552043216,117283.0
212,85.77670682730924,23.670128707044093,249,14.391255496688757,17.30217353567878,161037.0
301,65.36452476572958,27.52062876339173,747,12.234944666947325,61.05462838896352,201535.0
302,75.30242424242424,28.270378332989406,660,7.369099001089401,89.56318810514416,126308.0
303,72.01528662420382,26.586241490536185,314,7.382257203906427,42.534416144948516,182441.0
304,68.19642857142857,25.800142732730937,196,5.264174662470165,37.23280714778351,115024.0
305,86.8625,27.294161172298356,296,14.445333654612204,20.491046249076504,205303.0
306,69.90812720848056,26.58485015779401,283,7.943389272863155,35.627109572334234,120661.0
307,86.57201646090535,26.6895502201548,243,9.673678709323408,25.119709606005284,122767.0
308,74.89486404833838,21.531223660735208,331,4.237184409549611,78.11791227542618,110281.0
309,87.61476997578693,20.29969293982177,413,4.209871795190123,98.10274993928844,99978.0
310,83.37642857142858,19.52159990015587,280,10.34419038869814,27.068333961246744,127569.0
311,84.84873417721519,18.503882280021685,316,9.588414040463595,32.95644083228612,188487.0
312,83.27015945330295,22.881830443448212,439,9.246190267768133,47.47901430606909,192058.0
313,123.02043795620438,30.999072803159788,274,8.200090356573725,33.41426595139209,110299.0
314,84.24588859416446,16.298021462147297,754,7.634322307929554,98.76449664914482,164539.0
315,81.37280701754386,23.64901587352895,456,12.230621033667658,37.28347062219922,157254.0
316,75.70111111111112,25.01990075654782,180,4.809504203652286,37.42589513973393,94660.0
317,84.48425655976676,18.19792072100003,343,8.716147589532284,39.35224782241276,158546.0
318,76.34410256410257,26.653141489151498,195,21.894781754934638,8.90623173058352,200230.0
401,85.65739436619718,29.644969268976737,568,15.927679853252856,35.66118890090569,171270.0
402,69.38367346938776,25.318812058830876,588,13.007399457908779,45.20503901665627,124372.0
403,87.3705501618123,20.19980778599041,309,7.7550725228737125,39.844888502151264,161901.0
404,79.38390410958904,22.171084918093577,292,6.107447104168691,47.810483663574075,175166.0
405,61.38787878787878,26.509408135650265,198,19.546405707233916,10.12973960356928,184935.0
406,83.51097852028639,18.697274757948275,419,7.683388594990488,54.53323033448873,122344.0
407,95.25112107623319,32.22575563974897,669,30.498563825383325,21.93545911965878,250032.0
408,97.26190476190476,25.943200408717264,273,19.282654818153617,14.157801535864486,159983.0
409,75.27836538461538,20.993040202305654,208,9.975821798189916,20.85041254824149,150819.0
410,88.38840579710146,33.90300959808317,69,15.986570383571815,4.316122742055173,138303.0
411,96.74906832298137,30.873810552023098,161,24.18834744358758,6.656097543475699,123356.0
412,82.01072555205047,32.30586510167823,317,24.83620109525643,12.76362672311206,257420.0
413,99.44,33.91413074312184,155,32.55980873683198,4.760470224281829,206684.0
414,94.93333333333332,27.635679576957028,201,18.169668155418325,11.062392459823783,134226.0
501,132.56352459016392,56.988045880945855,244,35.04598313496581,6.962281499147279,182838.0
502,125.70738255033558,52.72138061320551,149,54.95328982112565,2.711393630572415,141364.0
503,92.29009009009008,35.73297424755609,111,55.773801303035775,1.9901817234386399,168027.0
