category,n_cds,population,pct_of_citywide,mean_poverty_rate,mean_pct_black,mean_pct_hispanic
EJ top quintile (>=80th pct),12,1514455,17.579374190506414,0.29334006771646454,0.3018511749510229,0.5526370311244396
EJ top decile (>=90th pct),6,580922,6.74318168152726,0.3531400701193345,0.35046141614717996,0.5827990157218749
Consensus noisy CDs,8,1095027,12.71077013295718,0.2668967549934369,0.2550548622529608,0.5649563505121401
Contested CDs (high rank variance),2,279523,3.24462556619571,0.1584096625186843,0.2833709349509037,0.16305100147945312
High noise + high poverty + high minority,14,1744320,20.24758344617975,0.29103564977684915,0.3142821636258826,0.5309719411446171
High noise + high poverty,17,2223816,25.813440211056264,0.2792813602048728,0.2693200237697546,0.48978957194865097
Citywide (reference),59,8614954,100.0,0.1787833358817395,0.20707750801481478,0.301931596774633
