variable,domain,n,n_missing,mean,std,median,q25,q75,iqr,min,max,skewness,shapiro_w,shapiro_p,normal_at_05
late_night_share,Behavioral,59,0,0.23619494717137313,0.03251226956902322,0.2271583324214903,0.2120823649252377,0.2521282893659803,0.04004592444074262,0.19071357356501922,0.3419671765099922,0.9740739318337783,0.9249883621077979,0.0013609092794921976,False
warm_season_ratio,Behavioral,59,0,1.1579000718762078,0.3970841240992699,1.0881024096385543,0.9254745546375186,1.264642639324992,0.3391680846874735,0.6222750693618708,2.736535729018655,1.8654781325480936,0.8414309893342741,2.0189549654075678e-06,False
weekend_uplift,Behavioral,59,0,1.6657560205473485,0.3287749722277798,1.6546508340401471,1.392167173321818,1.9280323244110469,0.5358651510892289,0.9978659500474233,2.383876134543513,0.1266236159833686,0.9756299840502112,0.2821337968367173,True
area_km2,Demographics,59,0,11.937589893558563,11.118074071127843,7.9431327669611,4.94509840906684,14.417828983756493,9.472730574689653,3.5045719536197106,55.77200026965786,2.370930551373737,0.7064580023404868,1.4644684253751739e-09,False
pct_hispanic,Demographics,59,0,0.301931596774633,0.20103066543401063,0.23674604809984987,0.14136820189960925,0.43566925026239123,0.294301048362782,0.07228816873336445,0.7347197655928963,0.7982049697159804,0.8699350144769897,1.4402150879122446e-05,False
pct_nonhisp_black,Demographics,59,0,0.20707750801481478,0.20313962932399401,0.1305322371893596,0.04412569537295957,0.3115128137160157,0.2673871183430561,0.006147821481071495,0.8054318620463462,1.0525877601247138,0.8485984749440788,3.2441552612855323e-06,False
pop_density,Demographics,59,0,18317.083918806245,10049.358903875533,16472.612963382027,10559.184815403185,24102.358309229596,13543.17349382641,2572.522327559154,44684.37061467267,0.7486059791971471,0.9462161207675561,0.01126935503525456,False
population,Demographics,59,0,146016.16949152542,44334.18527158151,139443.0,116870.0,173917.5,57047.5,50450.0,257420.0,0.2519064200019335,0.9879522136335783,0.8265129817526754,True
poverty_rate,Demographics,59,0,0.1787833358817395,0.08772508716483655,0.15195075264341845,0.11174856113624784,0.2383410783906139,0.12659251725436604,0.06144193175383111,0.3924168306049691,0.797634633580997,0.915686630044313,0.0005785540529521483,False
rent_burden_rate,Demographics,59,0,0.4970269212154949,0.06537285371149389,0.5084881569189503,0.45382367543681634,0.5418121657857006,0.08798849034888423,0.33022226516494374,0.6047928538056069,-0.37182234168191214,0.9758909006114069,0.2900169984537888,True
