,boro_cd,ahv_total_permits,ahv_permits_per_year,ahv_nighttime_permits,ahv_nighttime_share,ahv_weekend_permits,ahv_weekend_share,ahv_near_residence_pct,ahv_open_air_pct,ahv_demolition_pct,ahv_crane_pct,ahv_median_duration_hours,ahv_mean_duration_hours,ahv_top_reason,ahv_top_reason_pct,ahv_permits_2021,ahv_permits_2022,ahv_permits_2023,population,ahv_rate_per_1k_pop
0,101,17577,5859.0,1451,0.0825510610456847,4013,0.22830972293337884,0.8482676224611708,0.22836661546338966,0.20583717357910905,0.011833646242248393,8.0,8.098947488194801,Construction activities with minimal noise impact,0.49001536098310294,5418,8469,3690,72470.0,80.84724713674623
1,102,9999,3333.0,855,0.0855085508550855,3303,0.33033303330333036,0.9225922592259226,0.2068206820682068,0.1925192519251925,0.0111011101110111,8.0,8.614058072473915,Public Safety,0.6460646064606461,1707,5787,2505,85706.0,38.88875924672718
2,103,1668,556.0,18,0.01079136690647482,722,0.43285371702637887,0.9136690647482014,0.5989208633093526,0.13249400479616308,0.005995203836930456,6.0,6.905615507593925,Public Safety,0.40047961630695444,158,1014,496,155194.0,3.5826127298735777
3,104,15163,5054.333333333333,761,0.050187957528193626,3899,0.25713908857086326,0.9070764360614654,0.27534129130119367,0.1411330211699532,0.017806502670975402,8.0,8.28559212117215,Public Safety,0.5957264393589659,4422,7738,3003,116457.0,43.400854678837106
4,105,89079,29693.0,8893,0.09983273274284624,19158,0.21506752433233423,0.7944072115762413,0.20693990727331923,0.27655227382435815,0.014223329853276305,8.0,8.244059392973279,Public Safety,0.5423725008138843,25103,47990,15986,50450.0,588.5629335976215
5,106,15585,5195.0,1293,0.08296438883541868,4015,0.2576195059351941,0.8313763233878729,0.243246711581649,0.3009945460378569,0.00494064805903112,8.0,8.375495668912416,Construction activities with minimal noise impact,0.521591273660571,2484,9461,3640,143639.0,36.16705769324487
6,107,3904,1301.3333333333333,65,0.016649590163934427,1521,0.3896004098360656,0.9490266393442623,0.49462090163934425,0.2774077868852459,0.015881147540983607,6.0,6.559515881147541,Public Safety,0.44390368852459017,563,2485,856,220646.0,5.897833331822618
7,108,7650,2550.0,1192,0.15581699346405228,2556,0.3341176470588235,0.9379084967320261,0.32810457516339864,0.24483660130718954,0.01934640522875817,6.983333333333333,7.721795206971677,Public Safety,0.6098039215686275,1053,4405,2192,211135.0,12.077580694816113
8,109,1038,346.0,148,0.14258188824662812,486,0.4682080924855491,0.8583815028901735,0.5645472061657033,0.30828516377649323,0.019267822736030827,8.0,7.68505138086063,Public Safety,0.4556840077071291,278,548,212,114528.0,3.0210952780106175
9,110,959,319.6666666666667,3,0.0031282586027111575,655,0.6830031282586028,0.9562043795620438,0.6840458811261731,0.05005213764337852,0.0031282586027111575,6.0,6.44471671880431,Public Safety,0.4807090719499479,66,636,257,135884.0,2.352496737413284
10,111,1148,382.6666666666667,95,0.08275261324041812,459,0.3998257839721254,0.7134146341463414,0.6707317073170731,0.18466898954703834,0.04965156794425087,6.966666666666667,7.397488385598141,Construction activities with minimal noise impact,0.39372822299651566,192,440,516,125413.0,3.0512519967361174
11,112,1151,383.6666666666667,57,0.04952215464813206,609,0.529105125977411,0.8462206776715899,0.5473501303214596,0.1355343179843614,0.02519548218940052,8.0,8.19171734723429,Public Safety,0.3953084274543875,167,643,341,202680.0,1.892967567923163
12,201,3113,1037.6666666666667,662,0.21265660134918085,897,0.28814648249277225,0.7886283327979441,0.9180854481207839,0.19402505621586894,0.050112431737873435,6.0,6.155964235999572,City Construction Project,0.6145197558625121,280,1417,1416,100606.0,10.314162839857133
13,202,1157,385.6666666666667,4,0.003457216940363008,339,0.2929991356957649,0.4891961970613656,0.8470181503889369,0.672428694900605,0.0,7.0,7.308671852492077,City Construction Project,0.7830596369922213,115,638,404,55508.0,6.947947443011218
14,203,673,224.33333333333334,4,0.005943536404160475,252,0.37444279346210996,0.8870728083209509,0.7845468053491828,0.01337295690936107,0.005943536404160475,6.0,7.731327389796929,Public Safety,0.6181277860326895,209,414,50,88856.0,2.5246841331292575
15,204,1300,433.3333333333333,302,0.2323076923076923,423,0.3253846153846154,0.573076923076923,0.6746153846153846,0.19384615384615383,0.0015384615384615385,6.0,7.132448717948718,City Construction Project,0.4815384615384615,312,577,411,153883.0,2.815992236526019
16,205,930,310.0,20,0.021505376344086023,502,0.5397849462365591,0.8731182795698925,0.8580645161290322,0.05806451612903226,0.0,8.0,7.479874551971325,Public Safety,0.5870967741935483,129,470,331,137347.0,2.2570569433624326
