boro_cd,streetlight_complaints,broken_streetlight_rate,area_km2,streetlight_complaints_per_km2,z_light
101,100,0.4599604434018675,3.8737874499500387,8.604843131949133,0.3903076638400536
102,206,0.8011885593385139,3.5046851260186433,19.592820523843372,1.1812204769427987
103,195,0.4188306248952924,4.355157365325947,14.924833834364856,1.1252332276436583
104,183,0.5237984835604558,4.581039450588122,13.31575522497819,3.229145517640189
105,195,1.288404360753221,4.068232238002258,15.977455611511214,4.734065247445949
106,87,0.2018950285089704,3.5981447706273566,8.05970905804985,1.178315183203092
107,218,0.3293359801068983,4.938038115770943,14.715695780999802,-0.2971708192011842
108,141,0.2226063892770028,5.129629966047523,9.162454272742481,-0.02358645788021788
109,110,0.3201546055695259,3.8921667500588963,9.420630980446001,0.5118813586290164
110,89,0.2183234719810034,3.630064305945828,8.172490668574229,1.058024599629409
111,159,0.4226037173179814,6.146537348369612,8.622741064781525,0.5342677625597045
112,175,0.2878100124991777,7.243065415948536,8.053680311224158,0.01122613027493482
201,89,0.2948796957106601,5.611318014480505,5.286933763174569,1.5174271657032412
202,75,0.4503855300136917,5.742246988356088,4.353696392839607,1.0927210596624262
203,59,0.2213318928003361,4.16179490253111,4.725525194599533,1.0966735971876744
204,125,0.2707684842813479,5.158172659629183,8.07779603671934,1.5027392390018366
205,54,0.1310549192920121,3.559759490659611,5.056521387815631,1.1147954761749714
206,61,0.2326228801763357,3.9634652158186445,5.130190938015721,0.8461961663293351
207,78,0.1864561146848533,4.952478084391308,5.249897032748923,0.3909060752844777
208,153,0.4783926008611067,8.554144629501598,5.9620221785952525,-0.8226563212510057
209,238,0.4594532506317482,10.617551598664548,7.471904666167264,0.1817980050157025
210,662,1.7089516020775894,16.625986913429056,13.272395065367874,-1.0661953819053474
211,208,0.5911626862659833,9.319526733511358,7.439576634725776,0.11200928001620342
212,226,0.4678013955384993,14.391255496688757,5.234660266483807,-0.5192336847250115
301,206,0.3407183202256019,12.234944666947325,5.612339780511596,0.917045439481887
302,315,0.8313012635779206,7.369099001089401,14.24868901672748,0.7921014633086937
303,160,0.2923319502377938,7.382257203906427,7.224529281519918,0.3831748122923982
304,126,0.365141187925998,5.264174662470165,7.978458674525038,0.32879682127496024
305,299,0.4854613262673544,14.445333654612204,6.8995752572904,-0.13010626083001528
306,137,0.3784708121652121,7.943389272863155,5.749015325571013,0.0
307,177,0.4805851735401207,9.673678709323408,6.099024143021859,-0.2436489642331055
308,150,0.4533872561910029,4.237184409549611,11.800288863357428,0.30502277181283144
309,343,1.143584922016177,4.209871795190123,27.158388401271942,0.12959831908466843
310,129,0.3370724862623364,10.34419038869814,4.156922715477179,-0.7650402847592807
311,140,0.2475855982994406,9.588414040463595,4.866984933038035,-0.7938040422253686
312,263,0.456459333465238,9.246190267768133,9.481382507590107,-0.23046937268270903
313,72,0.2175903679997098,8.200090356573725,2.9267970176401827,-0.5283285503558142
314,160,0.3241379450059459,7.634322307929554,6.9859944579412785,-0.21616926829426178
315,177,0.375189184376868,12.230621033667658,4.823957821731916,-0.7335953646304547
316,133,0.468342841045144,4.809504203652286,9.217859358490024,0.6657744981326887
317,145,0.3048536912525912,8.716147589532284,5.545263298590719,-0.07099932741184094
318,232,0.3862225107792705,21.894781754934638,3.5320440367442334,-0.8929967498618441
401,178,0.3464315603043926,15.927679853252856,3.7251711410570505,0.40468911493271315
402,177,0.4743833017077798,13.007399457908779,4.535879765276735,0.9438728412878854
403,173,0.3561847466455838,7.7550725228737125,7.435993215611832,0.271195752196685
404,176,0.3349203993164579,6.107447104168691,9.60575927487333,-0.003983612726506952
405,315,0.5677670532889935,19.546405707233916,5.371831607953406,-0.6744907594765952
406,131,0.3569171080450751,7.683388594990488,5.683256303753399,-0.5912005247485218
407,260,0.3466222990123931,30.498563825383325,2.841663862038507,-0.96183140916398
408,218,0.4542149270026607,19.282654818153617,3.768499065712403,-0.8203425967095744
409,146,0.3226825974623002,9.975821798189916,4.878461910325733,-0.5824022514820271
410,119,0.2868098787926991,15.986570383571815,2.481249305819157,-0.5786880997132247
411,181,0.4890993006690662,24.18834744358758,2.4943139862714316,-1.3391227450492413
412,239,0.3094812627871442,24.83620109525643,3.2076832669019795,-0.37229269494883005
413,274,0.4418984214227193,32.55980873683198,2.805094282695099,-0.9645483510722038
414,170,0.4221735480955006,18.169668155418325,3.118750776401398,-1.5686835244621176
501,164,0.2989896338106229,35.04598313496581,1.55985541784174,-0.9270162076509234
502,179,0.4220782283089518,54.95328982112565,1.0857706037415262,-1.3566098631594494
503,141,0.2797169502520428,55.773801303035775,0.8426895585731178,-1.6805817367673996
