,borough,boro,total_violations,dep_violations,nypd_violations,guilty_rate,mean_penalty,median_penalty,mean_noise_rate,mean_poverty,mean_pct_black,mean_pct_hispanic,total_pop,violation_rate_per_1k
0,Manhattan,1,4684,2080,238,0.3456447480785653,979.5068317677199,440.0,65.21964203201607,0.15566002023959866,0.12651296210438592,0.23650780590781129,1634202.0,2.866230735245704
1,Bronx,2,746,488,195,0.4879356568364611,993.083109919571,440.0,71.93715306841561,0.27777038614703836,0.2727758240288621,0.5798955336098349,1449772.0,0.5145636693217968
2,Brooklyn,3,926,708,73,0.4038876889848812,969.3142548596112,560.0,38.67875070912951,0.18982961929726322,0.2847337390729594,0.19275817246420812,2677940.0,0.34578818046707543
3,Queens,4,2845,980,195,0.421792618629174,1485.1528998242532,440.0,34.98727484133406,0.11572502208213367,0.14638024303443142,0.2858279433655334,2360811.0,1.2050943510513972
