borough,n_cds,total_population,mean_noise_obj_db,mean_311_rate_per_1k,mean_dot_exposure_index,mean_dot_pct_above_65dB,mean_poverty_rate,mean_pct_hispanic,mean_pct_black,mean_rent_burden,mean_z_light,mean_z_heat,mean_z_air,mean_pop_density,dominant_cluster,n_consensus_noisy_cds
Manhattan,12,1634202,64.31440521176536,63.71016180034944,52.38017487593425,0.09329573541956743,0.1570590692342589,0.25692803162935657,0.12330277951466949,0.4433617801158648,0.7890201141456105,0.32552820409659233,1.1483919323158465,32762.350748809607,Nightlife & Entertainment,1
Bronx,12,1449772,70.61153204940881,77.24160601769924,54.03940430036751,0.11285454294738506,0.2691417520862243,0.5662068413161039,0.2817623522982218,0.562669500737305,0.38567214334438177,-0.395117730559618,-0.037272527194135395,19589.113511234533,Weekend-Heavy Residential,6
Brooklyn,18,2677940,63.005752172571015,36.82099696179119,51.293920462590926,0.048616084631379966,0.1898194874548743,0.1888723683108263,0.28345802452363633,0.4999945631799125,-0.09154770633053406,0.12803980282998917,-0.22701501413826247,17535.587507942084,Low-Intensity Baseline,0
Queens,14,2360811,68.28443245954993,34.82031121292234,52.47548020470476,0.09230436044341953,0.11736072456376116,0.2803193229786602,0.16795443772548116,0.49630935643751983,-0.49885214059438643,-0.006622286138500988,-0.5532750610633096,11685.80248927527,Weekend-Heavy Residential,1
Staten Island,3,492229,68.03261094644637,15.602493961144102,52.69052566827802,0.040640183841984895,0.1043428483253492,0.18726040115474707,0.09042945458313102,0.4847955760445298,-1.3076285500325415,-1.4293006570608533,-1.8157329013102834,3705.1818597422434,Low-Intensity Baseline,0
