boro_cd,late_night_ridership,subway_stations,total_ridership,pct_ridership_late_night,population,area_km2,late_night_entries_per_1k,subway_stations_per_km2,transit_desert_flag
101,12621217.0,15.0,170237014.0,7.413908822437405,72470.0,3.873787449950038,58052.605675911866,3.8721794093771096,0.0
102,15171766.0,12.0,128131949.0,11.840736146142598,85706.0,3.5046851260186433,59007.01623379148,3.423988052710492,0.0
103,8370312.0,6.0,67983285.0,12.312308827088897,155194.0,4.355157365325947,17978.169259120845,1.3776769693259867,0.0
104,15045501.0,9.0,139514628.0,10.78417454548207,116457.0,4.581039450588122,43064.53884266296,1.9646196233574376,0.0
105,64457963.0,22.0,561021020.0,11.489402482637816,50450.0,4.068232238002258,425886.7723818962,5.407754206973026,0.0
106,2734894.0,2.0,31397035.0,8.710676024025837,143639.0,3.5981447706273566,6346.683932172553,0.5558420040034379,1.0
107,7308358.0,8.0,90920498.0,8.038185184599406,220646.0,4.938038115770943,11040.849747257298,1.6200765997430973,0.0
108,9319631.0,9.0,139031817.0,6.703236137667683,211135.0,5.129629966047523,14713.541888681018,1.75451252031239,0.0
109,5646732.0,8.0,58150159.0,9.71060457461518,114528.0,3.892166750058896,16434.79323833473,2.055410395733673,0.0
110,3400574.0,9.0,37468164.0,9.075902411444552,135884.0,3.630064305945828,8341.855307958751,2.4792949219270133,0.0
111,4229891.0,5.0,44415664.0,9.52342173698,125413.0,6.146537348369612,11242.563902200463,0.8134661381869364,0.0
112,7098695.0,13.0,63235230.0,11.225854638308425,202680.0,7.243065415948536,11674.717123873428,1.7948201836442408,0.0
201,4840179.0,9.0,34580548.0,13.996825614215252,100606.0,5.611318014480505,16036.747311293562,1.6039012539967794,0.0
202,2827495.0,6.0,17463736.0,16.19066504440974,55508.0,5.742246988356088,16979.504455814178,1.0448871342815058,0.0
203,982854.0,2.0,5725735.0,17.165551671532125,88856.0,4.16179490253111,3687.0667146844335,0.4805618841965626,1.0
204,6190062.0,6.0,34456378.0,17.964923649258782,153883.0,5.158172659629183,13408.589642780553,1.1632026292875848,0.0
205,4650159.0,7.0,26421168.0,17.600126534905648,137347.0,3.559759490659611,11285.670600741189,1.9664249841505232,0.0
206,1469206.0,2.0,7664431.0,19.16914641152096,87409.0,3.963465215818645,5602.802152333665,0.5046089447228578,1.0
207,6677186.0,9.0,37040444.0,18.026743955876988,139443.0,4.952478084391308,15961.56613574483,1.817272049797704,0.0
208,1807418.0,3.0,11696566.0,15.452552484207756,106607.0,8.554144629501598,5651.342469693985,0.3507071869761913,1.0
209,3868917.0,4.0,18055540.0,21.427866460931103,172669.0,10.617551598664548,7468.8508070354255,0.3767346890504503,0.0
210,2695810.0,6.0,14160145.0,19.038011263302742,129124.0,16.625986913429056,6959.227822351642,0.3608808325930842,0.0
211,2645973.0,6.0,14112371.0,18.749315759910225,117283.0,9.319526733511358,7520.194742631072,0.6438095164666537,0.0
212,4130230.0,9.0,18951117.0,21.794124325231067,161037.0,14.391255496688755,8549.236096880426,0.6253797663498355,0.0
301,9029311.0,13.0,77655921.0,11.627331031203662,201535.0,12.234944666947325,14934.23144036189,1.0625303467958849,0.0
302,10250068.0,16.0,127547752.0,8.036259235678259,126308.0,7.369099001089401,27050.458667173363,2.1712288025489497,0.0
303,5135068.0,10.0,50340507.0,10.20066802267208,182441.0,7.382257203906427,9382.152769023043,1.3545992402849845,0.0
304,5906799.0,9.0,41178651.0,14.344323712789912,115024.0,5.264174662470165,17117.584156349978,1.709669715969651,0.0
305,5324008.0,15.0,29349283.0,18.140163764818375,205303.0,14.445333654612204,8644.147106147175,1.0383976139734714,0.0
306,2486273.0,7.0,32839681.0,7.570941386428205,120661.0,7.943389272863155,6868.480011492252,0.8812359258174546,0.0
307,4850262.0,9.0,46006015.0,10.54266925748731,122767.0,9.673678709323408,13169.288163757365,0.9303596150372327,0.0
308,296017.0,2.0,3252072.0,9.102412246715325,110281.0,4.237184409549611,894.7355694392808,0.4720115545342971,1.0
309,5362836.0,9.0,46398630.0,11.55817747205036,99978.0,4.209871795190123,17880.053611794596,2.137832323132194,0.0
310,2901537.0,5.0,21428418.0,13.540602950717126,127569.0,10.34419038869814,7581.614655598147,0.4833631064508347,0.0
311,5563783.0,13.0,36888172.0,15.082837392972468,188487.0,9.588414040463595,9839.37530616612,1.355802945632024,0.0
312,2762700.0,10.0,23311171.0,11.851399485680062,192058.0,9.246190267768132,4794.90570556811,1.0815265217783392,1.0
313,3029271.0,7.0,23179188.0,13.06892631441619,110299.0,8.200090356573725,9154.72488417846,0.8536491301450533,0.0
314,5123814.0,9.0,40566685.0,12.630595770889338,164539.0,7.634322307929554,10380.14087845435,1.1788865647775908,0.0
315,3669740.0,7.0,30014826.0,12.226424367744128,157254.0,12.230621033667658,7778.795239972699,0.5723339788495494,0.0
316,3860728.0,9.0,22392123.0,17.241455845879376,94660.0,4.809504203652286,13595.070075357418,1.871294756986697,0.0
317,1959193.0,3.0,11872137.0,16.502446021301807,158546.0,8.716147589532284,4119.084261560262,0.3441887564642515,1.0
318,1205615.0,3.0,6360571.0,18.954508958393827,200230.0,21.89478175493464,2007.0502255739236,0.1370189497012849,1.0
401,6029655.0,11.0,62468782.0,9.652269192634492,171270.0,15.927679853252856,11735.184212062824,0.6906216160386667,0.0
402,8161101.0,13.0,76833487.0,10.62180218372752,124372.0,13.00739945790878,21872.82507316759,0.9994311347219924,0.0
403,4843038.0,4.0,28165135.0,17.195152801504413,161901.0,7.755072522873712,9971.192271820431,0.515791436921052,0.0
404,15609100.0,6.0,96257917.0,16.215912920700333,175166.0,6.107447104168691,29703.44321005979,0.9824071985665906,0.0
405,2389494.0,5.0,14306706.0,16.701915870781157,184935.0,19.546405707233916,4306.907832481683,0.2558015051406384,1.0
406,5320603.0,5.0,41912863.0,12.694439413504156,122344.0,7.683388594990488,14496.29187645764,0.6507545385977175,0.0
407,5058311.0,1.0,35215150.0,14.364019463213989,250032.0,30.498563825383325,6743.551492075681,0.0327884291773673,1.0
408,748764.0,1.0,4129480.0,18.132161918691946,159983.0,19.282654818153617,1560.090759643212,0.0518600788859505,1.0
409,2943812.0,8.0,15592459.0,18.87971614996711,150819.0,9.975821798189916,6506.280154799241,0.8019389441631342,1.0
410,3631865.0,8.0,15414883.0,23.560769160557367,138303.0,15.986570383571816,8753.401348247447,0.5004200280643679,0.0
411,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
412,9888459.0,5.0,48724844.0,20.294490835106625,257420.0,24.83620109525643,12804.572294305026,0.2013190334875719,0.0
413,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
414,1814263.0,11.0,8021411.0,22.617753908882115,134226.0,18.169668155418325,4505.493222872867,0.6054045624779185,1.0
501,2.0,1.0,2.0,100.0,182838.0,35.04598313496581,0.003646215046471,0.0285339405702757,1.0
502,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
503,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
