ntacode,nta_name,borough_code,borough_name,ntatype,ntaabbrev,ntatype_label,is_residential,nta_short
BX0602,Tremont,2,Bronx,0,Trmnt,Residential/Mixed,True,BX-BX0602
BX0603,Belmont,2,Bronx,0,Blmnt,Residential/Mixed,True,BX-BX0603
BX0701,University Heights (North)-Fordham,2,Bronx,0,UnvrsHts_N,Residential/Mixed,True,BX-BX0701
BX0702,Bedford Park,2,Bronx,0,BdfrdPk,Residential/Mixed,True,BX-BX0702
BX0703,Norwood,2,Bronx,0,Nrwd,Residential/Mixed,True,BX-BX0703
BX0801,Kingsbridge Heights-Van Cortlandt Village,2,Bronx,0,KngbrdgHts,Residential/Mixed,True,BX-BX0801
BX0802,Kingsbridge-Marble Hill,2,Bronx,0,Kngbrdg,Residential/Mixed,True,BX-BX0802
BX0803,Riverdale-Spuyten Duyvil,2,Bronx,0,Rvrdl,Residential/Mixed,True,BX-BX0803
BX0901,Soundview-Bruckner-Bronx River,2,Bronx,0,Sdvw_BxRvr,Residential/Mixed,True,BX-BX0901
BX0902,Soundview-Clason Point,2,Bronx,0,Sdvw_ClsPt,Residential/Mixed,True,BX-BX0902
BX0903,Castle Hill-Unionport,2,Bronx,0,CstlHl,Residential/Mixed,True,BX-BX0903
BX0904,Parkchester,2,Bronx,0,Pkchstr,Residential/Mixed,True,BX-BX0904
BX0991,Soundview Park,2,Bronx,9,SdvwPk,Park/Recreation,False,BX-BX0991
BX1001,Westchester Square,2,Bronx,0,WstchstrSq,Residential/Mixed,True,BX-BX1001
BX1002,Throgs Neck-Schuylerville,2,Bronx,0,ThrgsNck,Residential/Mixed,True,BX-BX1002
BX1003,Pelham Bay-Country Club-City Island,2,Bronx,0,PlhmBy,Residential/Mixed,True,BX-BX1003
BX1004,Co-op City,2,Bronx,0,CoopCty,Residential/Mixed,True,BX-BX1004
BX1071,Hart Island,2,Bronx,7,HrtIsl,Airport,False,BX-BX1071
BX1091,Ferry Point Park-St. Raymond Cemetery,2,Bronx,9,FrryPtPk,Park/Recreation,False,BX-BX1091
BX1101,Pelham Parkway-Van Nest,2,Bronx,0,PlhmPkwy,Residential/Mixed,True,BX-BX1101
BX1102,Morris Park,2,Bronx,0,MrrsPk,Residential/Mixed,True,BX-BX1102
BX1103,Pelham Gardens,2,Bronx,0,PlhmGrdns,Residential/Mixed,True,BX-BX1103
BX1104,Allerton,2,Bronx,0,Allrtn,Residential/Mixed,True,BX-BX1104
BX1161,Hutchinson Metro Center,2,Bronx,6,HtchMtrCtr,Industrial/Transportation,False,BX-BX1161
BX1201,Williamsbridge-Olinville,2,Bronx,0,Wllmsbrdg,Residential/Mixed,True,BX-BX1201
